state,gdp_per_capita
 California *,"$85,546"
 Texas *,"$67,235"
 New York *,"$93,463"
 Florida *,"$56,301"
 Illinois *,"$74,052"
 Pennsylvania *,"$64,751"
 Ohio *,"$62,517"
 Georgia *,"$63,271"
 New Jersey *,"$72,524"
 Washington *,"$86,265"
 North Carolina *,"$62,077"
 Massachusetts *,"$91,129"
 Virginia *,"$68,483"
 Michigan *,"$56,554"
 Maryland *,"$71,083"
 Colorado *,"$72,597"
 Indiana *,"$61,760"
 Tennessee *,"$59,969"
 Minnesota *,"$72,187"
 Arizona *,"$56,511"
 Wisconsin *,"$62,065"
 Missouri *,"$58,356"
 Connecticut *,"$82,233"
 South Carolina *,"$52,031"
 Oregon *,"$62,867"
 Louisiana *,"$55,213"
 Alabama *,"$49,027"
 Kentucky *,"$52,002"
 Utah *,"$66,011"
 Iowa *,"$68,849"
 Oklahoma *,"$51,861"
 Nevada *,"$61,375"
 Kansas *,"$65,530"
 Washington *,"$226,861"
 Nebraska *,"$76,584"
 Arkansas *,"$47,770"
 Mississippi *,"$42,411"
 New Mexico *,"$51,481"
 New Hampshire *,"$70,729"
 Idaho *,"$49,616"
 Hawaii *,"$62,474"
 West Virginia *,"$49,017"
 Delaware *,"$80,446"
 Maine *,"$55,425"
 Rhode Island *,"$60,185"
 North Dakota *,"$81,795"
 South Dakota *,"$68,357"
 Montana *,"$53,703"
 Alaska *,"$75,027"
 Wyoming *,"$71,911"
 Vermont *,"$56,028"
 United States *,"$68,853"
